from:START_ID,to:END_ID,:TYPE
132034,0,IS
971,0,IS
975,0,IS
978,0,IS
981,0,IS
984,0,IS
986,0,IS
991,0,IS
996,0,IS
998,0,IS
1000,0,IS
1001,0,IS
1002,0,IS
1003,0,IS
1005,0,IS
1008,0,IS
1012,0,IS
1018,0,IS
1019,0,IS
1023,0,IS
1025,0,IS
1037,0,IS
1039,0,IS
132115,0,IS
1045,0,IS
1046,0,IS
1047,0,IS
132118,0,IS
132122,0,IS
1051,0,IS
132124,0,IS
1054,0,IS
1055,0,IS
132126,0,IS
1057,0,IS
1058,0,IS
132128,0,IS
132133,0,IS
1063,0,IS
1066,0,IS
132138,0,IS
132140,0,IS
1074,0,IS
132146,0,IS
132147,0,IS
132153,0,IS
1086,0,IS
1087,0,IS
1090,0,IS
1091,0,IS
1093,0,IS
1097,0,IS
1101,0,IS
1103,0,IS
1104,0,IS
1112,0,IS
1113,0,IS
1114,0,IS
1117,0,IS
132201,0,IS
132202,0,IS
132206,0,IS
1135,0,IS
1136,0,IS
1149,0,IS
132226,0,IS
132230,0,IS
1161,0,IS
1162,0,IS
132238,0,IS
1172,0,IS
132250,0,IS
132251,0,IS
132252,0,IS
1181,0,IS
1183,0,IS
1186,0,IS
132261,0,IS
132262,0,IS
1192,0,IS
132264,0,IS
1197,0,IS
132269,0,IS
132271,0,IS
1200,0,IS
1205,0,IS
1206,0,IS
1210,0,IS
1212,0,IS
132286,0,IS
1216,0,IS
1217,0,IS
1218,0,IS
1226,0,IS
1227,0,IS
1232,0,IS
132304,0,IS
132306,0,IS
132307,0,IS
1236,0,IS
1237,0,IS
1238,0,IS
132308,0,IS
132315,0,IS
1244,0,IS
1248,0,IS
132322,0,IS
1252,0,IS
132326,0,IS
1258,0,IS
1260,0,IS
1263,0,IS
1267,0,IS
132341,0,IS
132342,0,IS
132344,0,IS
1273,0,IS
132345,0,IS
132348,0,IS
1278,0,IS
1279,0,IS
1280,0,IS
132353,0,IS
1282,0,IS
1283,0,IS
1285,0,IS
1290,0,IS
1292,0,IS
1293,0,IS
1298,0,IS
132370,0,IS
1305,0,IS
1308,0,IS
1309,0,IS
132384,0,IS
132400,0,IS
132402,0,IS
132403,0,IS
132405,0,IS
1343,0,IS
132417,0,IS
1347,0,IS
1352,0,IS
132426,0,IS
132429,0,IS
1359,0,IS
1360,0,IS
132432,0,IS
132436,0,IS
1367,0,IS
132444,0,IS
1373,0,IS
132453,0,IS
1385,0,IS
1388,0,IS
132461,0,IS
1390,0,IS
132462,0,IS
132464,0,IS
1393,0,IS
132465,0,IS
132466,0,IS
132467,0,IS
132468,0,IS
1398,0,IS
132469,0,IS
132470,0,IS
1401,0,IS
1402,0,IS
1410,0,IS
132482,0,IS
132483,0,IS
132486,0,IS
1415,0,IS
132488,0,IS
132489,0,IS
132491,0,IS
132492,0,IS
132497,0,IS
132501,0,IS
132505,0,IS
132506,0,IS
1435,0,IS
1436,0,IS
1439,0,IS
132517,0,IS
1446,0,IS
132519,0,IS
1448,0,IS
132523,0,IS
132524,0,IS
1453,0,IS
1454,0,IS
132528,0,IS
132532,0,IS
1462,0,IS
1464,0,IS
1465,0,IS
1466,0,IS
132538,0,IS
1468,0,IS
1469,0,IS
1470,0,IS
132539,0,IS
1473,0,IS
1475,0,IS
